id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percentmale,percentfemale,preevolution,egggroup1,egggroup2
292,292,Shedinja,Shedinja,Bug,Ghost,Wonder Guard,,Wonder Guard,1,90,45,30,30,40,236,2.6 lbs.,"2'07""",Shed Pokemon,,,Nincada,Mineral,
293,293,Whismur,Whismur,Normal,,Soundproof,,Rattled,64,51,23,51,23,28,240,35.9 lbs.,"2'00""",Whisper Pokemon,0.5,0.5,,Monster,Field
294,294,Loudred,Loudred,Normal,,Soundproof,,Scrappy,84,71,43,71,43,48,360,89.3 lbs.,"3'03""",Big Voice Pokemon,0.5,0.5,Whismur,Monster,Field
295,295,Exploud,Exploud,Normal,,Soundproof,,Scrappy,104,91,63,91,73,68,490,185.2 lbs.,"4'11""",Loud Noise Pokemon,0.5,0.5,Loudred,Monster,Field
296,296,Makuhita,Makuhita,Fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,190.5 lbs.,"3'03""",Guts Pokemon,0.5,0.5,,Human-Like,
297,297,Hariyama,Hariyama,Fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,559.5 lbs.,"7'07""",Arm Thrust Pokemon,0.5,0.5,Makuhita,Human-Like,
298,298,Azurill,Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,4.4 lbs.,"0'08""",Polka Dot Pokemon,0.25,0.75,,Undiscovered,
299,299,Nosepass,Nosepass,Rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,213.8 lbs.,"3'03""",Compass Pokemon,0.5,0.5,,Mineral,
300,300,Skitty,Skitty,Normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,24.3 lbs.,"2'00""",Kitten Pokemon,0.25,0.75,,Field,Fairy
301,301,Delcatty,Delcatty,Normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,71.9 lbs.,"3'07""",Prim Pokemon,0.25,0.75,Skitty,Field,Fairy
302,302,Sableye,Sableye,Dark,Ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,24.3 lbs.,"1'08""",Darkness Pokemon,0.5,0.5,,Human-Like,
303,303,Mawile,Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,25.4 lbs.,"2'00""",Deceiver Pokemon,0.5,0.5,,Field,Fairy
304,304,Aron,Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,132.3 lbs.,"1'04""",Iron Armor Pokemon,0.5,0.5,,Monster,
305,305,Lairon,Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,264.6 lbs.,"2'11""",Iron Armor Pokemon,0.5,0.5,Aron,Monster,
306,306,Aggron,Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,793.7 lbs.,"6'11""",Iron Armor Pokemon,0.5,0.5,Lairon,Monster,
307,307,Meditite,Meditite,Fighting,Psychic,Pure Power,,Telepathy,30,40,55,40,55,60,280,24.7 lbs.,"2'00""",Meditate Pokemon,0.5,0.5,,Human-Like,
308,308,Medicham,Medicham,Fighting,Psychic,Pure Power,,Telepathy,60,60,75,60,75,80,410,69.4 lbs.,"4'03""",Meditate Pokemon,0.5,0.5,Meditite,Human-Like,
309,309,Electrike,Electrike,Electric,,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,33.5 lbs.,"2'00""",Lightning Pokemon,0.5,0.5,,Field,
310,310,Manectric,Manectric,Electric,,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,88.6 lbs.,"4'11""",Discharge Pokemon,0.5,0.5,Electrike,Field,
311,311,Plusle,Plusle,Electric,,Plus,,Lightning Rod,60,50,40,85,75,95,405,9.3 lbs.,"1'04""",Cheering Pokemon,0.5,0.5,,Fairy,
312,312,Minun,Minun,Electric,,Minus,,Volt Absorb,60,40,50,75,85,95,405,9.3 lbs.,"1'04""",Cheering Pokemon,0.5,0.5,,Fairy,
313,313,Volbeat,Volbeat,Bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,39.0 lbs.,"2'04""",Firefly Pokemon,1,0,,Bug,Human-Like
314,314,Illumise,Illumise,Bug,,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,39.0 lbs.,"2'00""",Firefly Pokemon,0,1,,Bug,Human-Like
315,315,Roselia,Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,4.4 lbs.,"1'00""",Thorn Pokemon,0.5,0.5,Budew,Fairy,Grass
316,316,Gulpin,Gulpin,Poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,22.7 lbs.,"1'04""",Stomach Pokemon,0.5,0.5,,Amorphous,
317,317,Swalot,Swalot,Poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,176.4 lbs.,"5'07""",Poison Bag Pokemon,0.5,0.5,Gulpin,Amorphous,
318,318,Carvanha,Carvanha,Water,Dark,Rough Skin,,Speed Boost,45,90,20,65,20,65,305,45.9 lbs.,"2'07""",Savage Pokemon,0.5,0.5,,Water 2,
319,319,Sharpedo,Sharpedo,Water,Dark,Rough Skin,,Speed Boost,70,120,40,95,40,95,460,195.8 lbs.,"5'11""",Brutal Pokemon,0.5,0.5,Carvanha,Water 2,
320,320,Wailmer,Wailmer,Water,,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,286.6 lbs.,"6'07""",Ball Whale Pokemon,0.5,0.5,,Field,Water 2
321,321,Wailord,Wailord,Water,,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,877.4 lbs.,"47'07""",Float Whale Pokemon,0.5,0.5,Wailmer,Field,Water 2
322,322,Numel,Numel,Fire,Ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,52.9 lbs.,"2'04""",Numb Pokemon,0.5,0.5,,Field,
323,323,Camerupt,Camerupt,Fire,Ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,485.0 lbs.,"6'03""",Eruption Pokemon,0.5,0.5,Numel,Field,
324,324,Torkoal,Torkoal,Fire,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,177.2 lbs.,"1'08""",Coal Pokemon,0.5,0.5,,Field,
325,325,Spoink,Spoink,Psychic,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,67.5 lbs.,"2'04""",Bounce Pokemon,0.5,0.5,,Field,
326,326,Grumpig,Grumpig,Psychic,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,157.6 lbs.,"2'11""",Manipulate Pokemon,0.5,0.5,Spoink,Field,
327,327,Spinda,Spinda,Normal,,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,11.0 lbs.,"3'07""",Spot Panda Pokemon,0.5,0.5,,Field,Human-Like
328,328,Trapinch,Trapinch,Ground,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,33.1 lbs.,"2'04""",Ant Pit Pokemon,0.5,0.5,,Bug,
329,329,Vibrava,Vibrava,Ground,Dragon,Levitate,,,50,70,50,50,50,70,340,33.7 lbs.,"3'07""",Vibration Pokemon,0.5,0.5,Trapinch,Bug,
330,330,Flygon,Flygon,Ground,Dragon,Levitate,,,80,100,80,80,80,100,520,180.8 lbs.,"6'07""",Mystic Pokemon,0.5,0.5,Vibrava,Bug,
331,331,Cacnea,Cacnea,Grass,,Sand Veil,,Water Absorb,50,85,40,85,40,35,335,113.1 lbs.,"1'04""",Cactus Pokemon,0.5,0.5,,Grass,Human-Like
332,332,Cacturne,Cacturne,Grass,Dark,Sand Veil,,Water Absorb,70,115,60,115,60,55,475,170.6 lbs.,"4'03""",Scarecrow Pokemon,0.5,0.5,Cacnea,Grass,Human-Like
333,333,Swablu,Swablu,Normal,Flying,Natural Cure,,Cloud Nine,45,40,60,40,75,50,310,2.6 lbs.,"1'04""",Cotton Bird Pokemon,0.5,0.5,,Flying,Dragon
334,334,Altaria,Altaria,Dragon,Flying,Natural Cure,,Cloud Nine,75,70,90,70,105,80,490,45.4 lbs.,"3'07""",Humming Pokemon,0.5,0.5,Swablu,Flying,Dragon
335,335,Zangoose,Zangoose,Normal,,Immunity,,Toxic Boost,73,115,60,60,60,90,458,88.8 lbs.,"4'03""",Cat Ferret Pokemon,0.5,0.5,,Field,
336,336,Seviper,Seviper,Poison,,Shed Skin,,Infiltrator,73,100,60,100,60,65,458,115.7 lbs.,"8'10""",Fang Snake Pokemon,0.5,0.5,,Field,Dragon
337,337,Lunatone,Lunatone,Rock,Psychic,Levitate,,,90,55,65,95,85,70,460,370.4 lbs.,"3'03""",Meteorite Pokemon,,,,Mineral,
338,338,Solrock,Solrock,Rock,Psychic,Levitate,,,90,95,85,55,65,70,460,339.5 lbs.,"3'11""",Meteorite Pokemon,,,,Mineral,
339,339,Barboach,Barboach,Water,Ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,4.2 lbs.,"1'04""",Whiskers Pokemon,0.5,0.5,,Water 2,
340,340,Whiscash,Whiscash,Water,Ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,52.0 lbs.,"2'11""",Whiskers Pokemon,0.5,0.5,Barboach,Water 2,
341,341,Corphish,Corphish,Water,,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,25.4 lbs.,"2'00""",Ruffian Pokemon,0.5,0.5,,Water 1,Water 3
342,342,Crawdaunt,Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,72.3 lbs.,"3'07""",Rogue Pokemon,0.5,0.5,Corphish,Water 1,Water 3
343,343,Baltoy,Baltoy,Ground,Psychic,Levitate,,,40,40,55,40,70,55,300,47.4 lbs.,"1'08""",Clay Doll Pokemon,,,,Mineral,
344,344,Claydol,Claydol,Ground,Psychic,Levitate,,,60,70,105,70,120,75,500,238.1 lbs.,"4'11""",Clay Doll Pokemon,,,Baltoy,Mineral,
345,345,Lileep,Lileep,Rock,Grass,Suction Cups,,Storm Drain,66,41,77,61,87,23,355,52.5 lbs.,"3'03""",Sea Lily Pokemon,0.875,0.125,,Water 3,
346,346,Cradily,Cradily,Rock,Grass,Suction Cups,,Storm Drain,86,81,97,81,107,43,495,133.2 lbs.,"4'11""",Barnacle Pokemon,0.875,0.125,Lileep,Water 3,
347,347,Anorith,Anorith,Rock,Bug,Battle Armor,,Swift Swim,45,95,50,40,50,75,355,27.6 lbs.,"2'04""",Old Shrimp Pokemon,0.875,0.125,,Water 3,
348,348,Armaldo,Armaldo,Rock,Bug,Battle Armor,,Swift Swim,75,125,100,70,80,45,495,150.4 lbs.,"4'11""",Plate Pokemon,0.875,0.125,Anorith,Water 3,
349,349,Feebas,Feebas,Water,,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,16.3 lbs.,"2'00""",Fish Pokemon,0.5,0.5,,Water 1,Dragon
350,350,Milotic,Milotic,Water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,357.1 lbs.,"20'04""",Tender Pokemon,0.5,0.5,Feebas,Water 1,Dragon
351,351,Castform,Castform (Normal),Normal,,Forecast,,,70,70,70,70,70,70,420,1.8 lbs.,"1'00""",Weather Pokemon,0.5,0.5,,Fairy,Amorphous
352,352,Kecleon,Kecleon,Normal,,Color Change,,Protean,60,90,70,60,120,40,440,48.5 lbs.,"3'03""",Color Swap Pokemon,0.5,0.5,,Field,
353,353,Shuppet,Shuppet,Ghost,,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,5.1 lbs.,"2'00""",Puppet Pokemon,0.5,0.5,,Amorphous,
354,354,Banette,Banette,Ghost,,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,27.6 lbs.,"3'07""",Marionette Pokemon,0.5,0.5,Shuppet,Amorphous,
355,355,Duskull,Duskull,Ghost,,Levitate,,Frisk,20,40,90,30,90,25,295,33.1 lbs.,"2'07""",Requiem Pokemon,0.5,0.5,,Amorphous,
356,356,Dusclops,Dusclops,Ghost,,Pressure,,Frisk,40,70,130,60,130,25,455,67.5 lbs.,"5'03""",Beckon Pokemon,0.5,0.5,Duskull,Amorphous,
357,357,Tropius,Tropius,Grass,Flying,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,220.5 lbs.,"6'07""",Fruit Pokemon,0.5,0.5,,Monster,Grass
358,358,Chimecho,Chimecho,Psychic,,Levitate,,,75,50,80,95,90,65,455,2.2 lbs.,"2'00""",Wind Chime Pokemon,0.5,0.5,Chingling,Amorphous,
359,359,Absol,Absol,Dark,,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,103.6 lbs.,"3'11""",Disaster Pokemon,0.5,0.5,,Field,
360,360,Wynaut,Wynaut,Psychic,,Shadow Tag,,Telepathy,95,23,48,23,48,23,260,30.9 lbs.,"2'00""",Bright Pokemon,0.5,0.5,,Undiscovered,
361,361,Snorunt,Snorunt,Ice,,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300,37.0 lbs.,"2'04""",Snow Hat Pokemon,0.5,0.5,,Fairy,Mineral
362,362,Glalie,Glalie,Ice,,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480,565.5 lbs.,"4'11""",Face Pokemon,0.5,0.5,Snorunt,Fairy,Mineral
363,363,Spheal,Spheal,Ice,Water,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290,87.1 lbs.,"2'07""",Clap Pokemon,0.5,0.5,,Water 1,Field
364,364,Sealeo,Sealeo,Ice,Water,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410,193.1 lbs.,"3'07""",Ball Roll Pokemon,0.5,0.5,Spheal,Water 1,Field
365,365,Walrein,Walrein,Ice,Water,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530,332.0 lbs.,"4'07""",Ice Break Pokemon,0.5,0.5,Sealeo,Water 1,Field
366,366,Clamperl,Clamperl,Water,,Shell Armor,,Rattled,35,64,85,74,55,32,345,115.7 lbs.,"1'04""",Bivalve Pokemon,0.5,0.5,,Water 1,
367,367,Huntail,Huntail,Water,,Swift Swim,,Water Veil,55,104,105,94,75,52,485,59.5 lbs.,"5'07""",Deep Sea Pokemon,0.5,0.5,Clamperl,Water 1,
368,368,Gorebyss,Gorebyss,Water,,Swift Swim,,Hydration,55,84,105,114,75,52,485,49.8 lbs.,"5'11""",South Sea Pokemon,0.5,0.5,Clamperl,Water 1,
369,369,Relicanth,Relicanth,Water,Rock,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,51.6 lbs.,"3'03""",Longevity Pokemon,0.5,0.5,,Water 1,Water 2
370,370,Luvdisc,Luvdisc,Water,,Swift Swim,,Hydration,43,30,55,40,65,97,330,19.2 lbs.,"2'00""",Rendezvous Pokemon,0.25,0.75,,Water 2,
371,371,Bagon,Bagon,Dragon,,Rock Head,,Sheer Force,45,75,60,40,30,50,300,92.8 lbs.,"2'00""",Rock Head Pokemon,0.5,0.5,,Dragon,
372,372,Shelgon,Shelgon,Dragon,,Rock Head,,Overcoat,65,95,100,60,50,50,420,243.6 lbs.,"3'07""",Endurance Pokemon,0.5,0.5,Bagon,Dragon,
373,373,Salamence,Salamence,Dragon,Flying,Intimidate,,Moxie,95,135,80,110,80,100,600,226.2 lbs.,"4'11""",Dragon Pokemon,0.5,0.5,Shelgon,Dragon,
374,374,Beldum,Beldum,Steel,Psychic,Clear Body,,Light Metal,40,55,80,35,60,30,300,209.9 lbs.,"2'00""",Iron Ball Pokemon,,,,Mineral,
375,375,Metang,Metang,Steel,Psychic,Clear Body,,Light Metal,60,75,100,55,80,50,420,446.4 lbs.,"3'11""",Iron Claw Pokemon,,,Beldum,Mineral,
376,376,Metagross,Metagross,Steel,Psychic,Clear Body,,Light Metal,80,135,130,95,90,70,600,1212.5 lbs.,"5'03""",Iron Leg Pokemon,,,Metang,Mineral,
377,377,Regirock,Regirock,Rock,,Clear Body,,Sturdy,80,100,200,50,100,50,580,507.1 lbs.,"5'07""",Rock Peak Pokemon,,,,Undiscovered,
378,378,Regice,Regice,Ice,,Clear Body,,Ice Body,80,50,100,100,200,50,580,385.8 lbs.,"5'11""",Iceberg Pokemon,,,,Undiscovered,
379,379,Registeel,Registeel,Steel,,Clear Body,,Light Metal,80,75,150,75,150,50,580,451.9 lbs.,"6'03""",Iron Pokemon,,,,Undiscovered,
380,380,Latias,Latias,Dragon,Psychic,Levitate,,,80,80,90,110,130,110,600,88.2 lbs.,"4'07""",Eon Pokemon,0,1,,Undiscovered,
381,381,Latios,Latios,Dragon,Psychic,Levitate,,,80,90,80,130,110,110,600,132.3 lbs.,"6'07""",Eon Pokemon,1,0,,Undiscovered,
382,382,Kyogre,Kyogre,Water,,Drizzle,,,100,100,90,150,140,90,670,776.0 lbs.,"14'09""",Sea Basin Pokemon,,,,Undiscovered,
383,383,Groudon,Groudon,Ground,,Drought,,,100,150,140,100,90,90,670,2094.4 lbs.,"11'06""",Continent Pokemon,,,,Undiscovered,
384,384,Rayquaza,Rayquaza,Dragon,Flying,Air Lock,,,105,150,90,150,90,95,680,455.2 lbs.,"23'00""",Sky High Pokemon,,,,Undiscovered,
385,385,Jirachi,Jirachi,Steel,Psychic,Serene Grace,,,100,100,100,100,100,100,600,2.4 lbs.,"1'00""",Wish Pokemon,,,,Undiscovered,
386,386,Deoxys,Deoxys (Normal Forme),Psychic,,Pressure,,,50,150,50,150,50,150,600,134.0 lbs.,"5'07""",DNA Pokemon,,,,Undiscovered,
387,387,Turtwig,Turtwig,Grass,,Overgrow,,Shell Armor,55,68,64,45,55,31,318,22.5 lbs.,"1'04""",Tiny Leaf Pokemon,0.875,0.125,,Monster,Grass
388,388,Grotle,Grotle,Grass,,Overgrow,,Shell Armor,75,89,85,55,65,36,405,213.8 lbs.,"3'07""",Grove Pokemon,0.875,0.125,Turtwig,Monster,Grass
389,389,Torterra,Torterra,Grass,Ground,Overgrow,,Shell Armor,95,109,105,75,85,56,525,683.4 lbs.,"7'03""",Continent Pokemon,0.875,0.125,Grotle,Monster,Grass
390,390,Chimchar,Chimchar,Fire,,Blaze,,Iron Fist,44,58,44,58,44,61,309,13.7 lbs.,"1'08""",Chimp Pokemon,0.875,0.125,,Field,Human-Like
391,391,Monferno,Monferno,Fire,Fighting,Blaze,,Iron Fist,64,78,52,78,52,81,405,48.5 lbs.,"2'11""",Playful Pokemon,0.875,0.125,Chimchar,Field,Human-Like
392,392,Infernape,Infernape,Fire,Fighting,Blaze,,Iron Fist,76,104,71,104,71,108,534,121.3 lbs.,"3'11""",Flame Pokemon,0.875,0.125,Monferno,Field,Human-Like
393,393,Piplup,Piplup,Water,,Torrent,,Defiant,53,51,53,61,56,40,314,11.5 lbs.,"1'04""",Penguin Pokemon,0.875,0.125,,Water 1,Field
394,394,Prinplup,Prinplup,Water,,Torrent,,Defiant,64,66,68,81,76,50,405,50.7 lbs.,"2'07""",Penguin Pokemon,0.875,0.125,Piplup,Water 1,Field
395,395,Empoleon,Empoleon,Water,Steel,Torrent,,Defiant,84,86,88,111,101,60,530,186.3 lbs.,"5'07""",Emperor Pokemon,0.875,0.125,Prinplup,Water 1,Field
396,396,Starly,Starly,Normal,Flying,Keen Eye,,Reckless,40,55,30,30,30,60,245,4.4 lbs.,"1'00""",Starling Pokemon,0.5,0.5,,Flying,
397,397,Staravia,Staravia,Normal,Flying,Intimidate,,Reckless,55,75,50,40,40,80,340,34.2 lbs.,"2'00""",Starling Pokemon,0.5,0.5,Starly,Flying,
398,398,Staraptor,Staraptor,Normal,Flying,Intimidate,,Reckless,85,120,70,50,60,100,485,54.9 lbs.,"3'11""",Predator Pokemon,0.5,0.5,Staravia,Flying,
399,399,Bidoof,Bidoof,Normal,,Simple,Unaware,Moody,59,45,40,35,40,31,250,44.1 lbs.,"1'08""",Plump Mouse Pokemon,0.5,0.5,,Water 1,Field
400,400,Bibarel,Bibarel,Normal,Water,Simple,Unaware,Moody,79,85,60,55,60,71,410,69.4 lbs.,"3'03""",Beaver Pokemon,0.5,0.5,Bidoof,Water 1,Field
401,401,Kricketot,Kricketot,Bug,,Shed Skin,,Run Away,37,25,41,25,41,25,194,4.9 lbs.,"1'00""",Cricket Pokemon,0.5,0.5,,Bug,
402,402,Kricketune,Kricketune,Bug,,Swarm,,Technician,77,85,51,55,51,65,384,56.2 lbs.,"3'03""",Cricket Pokemon,0.5,0.5,Kricketot,Bug,
403,403,Shinx,Shinx,Electric,,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,20.9 lbs.,"1'08""",Flash Pokemon,0.5,0.5,,Field,
404,404,Luxio,Luxio,Electric,,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,67.2 lbs.,"2'11""",Spark Pokemon,0.5,0.5,Shinx,Field,
405,405,Luxray,Luxray,Electric,,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,92.6 lbs.,"4'07""",Gleam Eyes Pokemon,0.5,0.5,Luxio,Field,
406,406,Budew,Budew,Grass,Poison,Mold Breaker,,Sheer Force,40,30,35,50,70,55,280,2.6 lbs.,"0'08""",Bud Pokemon,0.5,0.5,,Undiscovered,
407,407,Roserade,Roserade,Grass,Poison,Mold Breaker,,Sheer Force,60,70,65,125,105,90,515,32.0 lbs.,"2'11""",Bouquet Pokemon,0.5,0.5,Roselia,Fairy,Grass
408,408,Cranidos,Cranidos,Rock,,Sturdy,,Soundproof,67,125,40,30,30,58,350,69.4 lbs.,"2'11""",Head Butt Pokemon,0.875,0.125,,Monster,
409,409,Rampardos,Rampardos,Rock,,Sturdy,,Soundproof,97,165,60,65,50,58,495,226.0 lbs.,"5'03""",Head Butt Pokemon,0.875,0.125,Cranidos,Monster,
410,410,Shieldon,Shieldon,Rock,Steel,Shed Skin,,Overcoat,30,42,118,42,88,30,350,125.7 lbs.,"1'08""",Shield Pokemon,0.875,0.125,,Monster,
411,411,Bastiodon,Bastiodon,Rock,Steel,Shed Skin,,Overcoat,60,52,168,47,138,30,495,329.6 lbs.,"4'03""",Shield Pokemon,0.875,0.125,Shieldon,Monster,
412,412,Burmy,Burmy (Plant Cloak),Bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5 lbs.,"0'08""",Bagworm Pokemon,0.5,0.5,,Bug,
413,413,Wormadam,Wormadam (Plant Cloak),Bug,Grass,Anticipation,,Overcoat,60,59,85,79,105,36,424,14.3 lbs.,"1'08""",Bagworm Pokemon,0,1,Burmy,Bug,
414,414,Mothim,Mothim,Bug,Flying,Swarm,,Tinted Lens,70,94,50,94,50,66,424,51.4 lbs.,"2'11""",Moth Pokemon,1,0,Burmy,Bug,
415,415,Combee,Combee,Bug,Flying,Honey Gather,,Hustle,30,30,42,30,42,70,244,12.1 lbs.,"1'00""",Tiny Bee Pokemon,0.875,0.125,,Bug,
416,416,Vespiquen,Vespiquen,Bug,Flying,Pressure,,Unnerve,70,80,102,80,102,40,474,84.9 lbs.,"3'11""",Beehive Pokemon,0,1,Combee,Bug,
417,417,Pachirisu,Pachirisu,Electric,,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405,8.6 lbs.,"1'04""",EleSquirrel Pokemon,0.5,0.5,,Field,Fairy
418,418,Buizel,Buizel,Water,,Swift Swim,,Water Veil,55,65,35,60,30,85,330,65.0 lbs.,"2'04""",Sea Weasel Pokemon,0.5,0.5,,Water 1,Field
419,419,Floatzel,Floatzel,Water,,Swift Swim,,Water Veil,85,105,55,85,50,115,495,73.9 lbs.,"3'07""",Sea Weasel Pokemon,0.5,0.5,Buizel,Water 1,Field
420,420,Cherubi,Cherubi,Grass,,Chlorophyll,,,45,35,45,62,53,35,275,7.3 lbs.,"1'04""",Cherry Pokemon,0.5,0.5,,Fairy,Grass
421,421,Cherrim,Cherrim (Overcast Form),Grass,,Flower Gift,,,70,60,70,87,78,85,450,20.5 lbs.,"1'08""",Blossom Pokemon,0.5,0.5,Cherubi,Fairy,Grass
422,422,Shellos,Shellos (West Sea),Water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325,13.9 lbs.,"1'00""",Sea Slug Pokemon,0.5,0.5,,Water 1,Amorphous
423,423,Gastrodon,Gastrodon (West Sea),Water,Ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475,65.9 lbs.,"2'11""",Sea Slug Pokemon,0.5,0.5,Shellos,Water 1,Amorphous
424,424,Ambipom,Ambipom,Normal,,Technician,Pickup,Skill Link,75,100,66,60,66,115,482,44.8 lbs.,"3'11""",Long Tail Pokemon,0.5,0.5,Aipom,Field,
425,425,Drifloon,Drifloon,Ghost,Flying,Aftermath,Unburden,Flare Boost,90,50,34,60,44,70,348,2.6 lbs.,"1'04""",Balloon Pokemon,0.5,0.5,,Amorphous,
426,426,Drifblim,Drifblim,Ghost,Flying,Aftermath,Unburden,Flare Boost,150,80,44,90,54,80,498,33.1 lbs.,"3'11""",Blimp Pokemon,0.5,0.5,Drifloon,Amorphous,
427,427,Buneary,Buneary,Normal,,Run Away,Klutz,Limber,55,66,44,44,56,85,350,12.1 lbs.,"1'04""",Rabbit Pokemon,0.5,0.5,,Field,Human-Like
428,428,Lopunny,Lopunny,Normal,,Cute Charm,Klutz,Limber,65,76,84,54,96,105,480,73.4 lbs.,"3'11""",Rabbit Pokemon,0.5,0.5,Buneary,Field,Human-Like
429,429,Mismagius,Mismagius,Ghost,,Levitate,,,60,60,60,105,105,105,495,9.7 lbs.,"2'11""",Magical Pokemon,0.5,0.5,Misdreavus,Amorphous,
430,430,Honchkrow,Honchkrow,Dark,Flying,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,505,60.2 lbs.,"2'11""",Big Boss Pokemon,0.5,0.5,Murkrow,Flying,
431,431,Glameow,Glameow,Normal,,Limber,Own Tempo,Keen Eye,49,55,42,42,37,85,310,8.6 lbs.,"1'08""",Catty Pokemon,0.25,0.75,,Field,
432,432,Purugly,Purugly,Normal,,Thick Fat,Own Tempo,Defiant,71,82,64,64,59,112,452,96.6 lbs.,"3'03""",Tiger Cat Pokemon,0.25,0.75,Glameow,Field,
433,433,Chingling,Chingling,Psychic,,Levitate,,,45,30,50,65,50,45,285,1.3 lbs.,"0'08""",Bell Pokemon,0.5,0.5,,Undiscovered,
434,434,Stunky,Stunky,Poison,Dark,Stench,Aftermath,Keen Eye,63,63,47,41,41,74,329,42.3 lbs.,"1'04""",Skunk Pokemon,0.5,0.5,,Field,
435,435,Skuntank,Skuntank,Poison,Dark,Stench,Aftermath,Keen Eye,103,93,67,71,61,84,479,83.8 lbs.,"3'03""",Skunk Pokemon,0.5,0.5,Stunky,Field,
436,436,Bronzor,Bronzor,Steel,Psychic,Levitate,Heatproof,Heavy Metal,57,24,86,24,86,23,300,133.4 lbs.,"1'08""",Bronze Pokemon,,,,Mineral,
437,437,Bronzong,Bronzong,Steel,Psychic,Levitate,Heatproof,Heavy Metal,67,89,116,79,116,33,500,412.3 lbs.,"4'03""",Bronze Bell Pokemon,,,Bronzor,Mineral,
438,438,Bonsly,Bonsly,Rock,,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,290,33.1 lbs.,"1'08""",Bonsai Pokemon,0.5,0.5,,Undiscovered,
439,439,Mime Jr.,Mime Jr.,Psychic,Fairy,Soundproof,Filter,Technician,20,25,45,70,90,60,310,28.7 lbs.,"2'00""",Mime Pokemon,0.5,0.5,,Undiscovered,
440,440,Happiny,Happiny,Normal,,Natural Cure,Serene Grace,Friend Guard,100,5,5,15,65,30,220,53.8 lbs.,"2'00""",Playhouse Pokemon,0,1,,Undiscovered,
